,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2023-12-03 23:29:59,1.0714861892778078e-07,2.476035707109853e-09,4.071433487908934e-10,4.071433487908934e-10
2023-12-03 23:44:59,1.0270037024698671e-07,2.2483844836116535e-09,3.6851075702346907e-10,3.6851075702346907e-10
2023-12-03 23:59:59,9.637089874206759e-08,1.6702259506588674e-09,2.3899255013594755e-10,2.3899255013594755e-10
2023-12-04 00:14:59,8.842862518557013e-08,1.3882466272566418e-09,1.6266311619518764e-10,1.6266311619518764e-10
2023-12-04 00:29:59,9.286256153213795e-08,1.0874622219571458e-09,1.0869418854985432e-10,1.0869418854985432e-10
2023-12-04 00:44:59,9.388778262122355e-08,9.36428303206271e-10,9.345789481941002e-11,9.345789481941002e-11
2023-12-04 00:59:59,9.268924717286017e-08,1.0016822049925477e-09,1.0363615992211206e-10,1.0363615992211206e-10
2023-12-04 01:14:59,9.97964868602744e-08,1.1738236471983274e-09,1.7279706987031505e-10,1.7279706987031505e-10
2023-12-04 01:29:59,8.95090956731824e-08,8.000209336302695e-10,8.780289576693792e-11,8.780289576693792e-11
2023-12-04 01:44:59,8.441505679918567e-08,6.887912352189838e-10,3.533626995440905e-11,3.533626995440905e-11
2023-12-04 01:59:59,7.824448193662376e-08,8.644957854410756e-10,6.759393770089151e-11,6.759393770089151e-11
2023-12-04 02:14:59,1.0110743697532927e-07,5.7480755724679556e-09,1.4717179881188057e-09,1.4717179881188057e-09
2023-12-04 02:29:59,1.0300849888266728e-07,5.0499937253398924e-09,1.278906508070511e-09,1.278906508070511e-09
2023-12-04 02:44:59,7.595119764248516e-08,1.1567444605499129e-09,1.350487773605433e-10,1.350487773605433e-10
2023-12-04 02:59:59,7.074098494628745e-08,1.0571688989318667e-09,1.142984705669184e-10,1.142984705669184e-10
2023-12-04 03:14:59,6.971601210436921e-08,1.2526593645680406e-09,1.620104778590335e-10,1.620104778590335e-10
2023-12-04 03:29:59,7.556252816776159e-08,1.5878836544301172e-09,2.368006694376682e-10,2.368006694376682e-10
2023-12-04 03:44:59,8.354133013199505e-08,1.815696010346721e-09,2.7569546150901265e-10,2.7569546150901265e-10
2023-12-04 03:59:59,6.92082851982044e-08,1.2982912668158912e-09,1.7642218576573426e-10,1.7642218576573426e-10
2023-12-04 04:14:59,6.634381313713303e-08,1.0071627741281027e-09,1.0115643958994503e-10,1.0115643958994503e-10
2023-12-04 04:29:59,6.520466437275513e-08,8.851618405292068e-10,6.697835720625584e-11,6.697835720625584e-11
2023-12-04 04:44:59,6.566421996022783e-08,6.583557266339868e-10,2.8791230948927156e-11,2.8791230948927156e-11
2023-12-04 04:59:59,8.138763365550567e-08,6.399865414460767e-10,2.8802659512066656e-11,2.8802659512066656e-11
2023-12-04 05:14:59,8.694437537435909e-08,5.830221440104263e-10,2.5908045388100555e-11,2.5908045388100555e-11
2023-12-04 05:29:59,7.320838960688358e-08,5.647751712977312e-10,3.9227696482710886e-11,3.9227696482710886e-11
2023-12-04 05:44:59,5.882692381681396e-08,5.469375438756199e-10,3.6255416196859185e-11,3.6255416196859185e-11
2023-12-04 05:59:59,5.544292708173536e-08,5.496078062187775e-10,2.499743590376039e-11,2.499743590376039e-11
2023-12-04 06:14:59,5.409297748084143e-08,5.228783686967954e-10,2.412612859657693e-11,2.412612859657693e-11
2023-12-04 06:29:59,5.245228134424357e-08,5.246589035675537e-10,2.806787489225689e-11,2.806787489225689e-11
2023-12-04 06:44:59,5.223085890100092e-08,7.796989708029381e-10,9.218636934903014e-11,9.218636934903014e-11
2023-12-04 06:59:59,5.075091648970807e-08,6.687007332459829e-10,6.271653453138777e-11,6.271653453138777e-11
2023-12-04 07:14:59,5.234286636012773e-08,7.563485269391257e-10,5.718923289007018e-11,5.718923289007018e-11
2023-12-04 07:29:59,5.20888095606281e-08,7.731293496593764e-10,5.3992653195983805e-11,5.3992653195983805e-11
2023-12-04 07:44:59,4.68089645166896e-08,7.622599993573545e-10,5.60468208707189e-11,5.60468208707189e-11
2023-12-04 07:59:59,4.5624927193789975e-08,1.1412817871432372e-09,1.9104353214432385e-10,1.9104353214432385e-10
2023-12-04 08:14:59,4.5470011693744306e-08,9.766645766007488e-10,1.431254444453542e-10,1.431254444453542e-10
2023-12-04 08:29:59,4.6326200970749976e-08,6.820313134128234e-10,1.9568428176112375e-11,1.9568428176112375e-11
2023-12-04 08:44:59,4.467096754271633e-08,7.373391422010436e-10,2.0557331058989596e-11,2.0557331058989596e-11
2023-12-04 08:59:59,4.448144834291303e-08,8.219203977443947e-10,2.1267472132350044e-11,2.1267472132350044e-11
2023-12-04 09:14:59,4.3472886307736855e-08,8.929145578814311e-10,2.0283764665335522e-11,2.0283764665335522e-11
2023-12-04 09:29:59,4.429876761910248e-08,9.136626758293451e-10,1.8347790272996008e-11,1.8347790272996008e-11
2023-12-04 09:44:59,4.2826220065093754e-08,9.55726084891831e-10,1.8178500566689937e-11,1.8178500566689937e-11
2023-12-04 09:59:59,4.559152339931933e-08,1.0218705712146857e-09,5.8144657525765406e-11,5.8144657525765406e-11
2023-12-04 10:14:59,5.6096461387373855e-08,1.6286460531706556e-09,3.24913460065543e-10,3.24913460065543e-10
2023-12-04 10:29:59,6.049476488402242e-08,3.2574995088977124e-09,8.499082269169703e-10,8.499082269169703e-10
2023-12-04 10:44:59,4.3811728385337716e-08,1.1103972619795636e-09,7.899611823406076e-11,7.899611823406076e-11
2023-12-04 10:59:59,4.0668302400493504e-08,8.488345222296183e-10,3.745760538319377e-11,3.745760538319377e-11
2023-12-04 11:14:59,4.0958607845688336e-08,8.300391121733419e-10,2.3012233054503438e-11,2.3012233054503438e-11
2023-12-04 11:29:59,4.008495233558207e-08,8.243750014317724e-10,3.428902449197203e-11,3.428902449197203e-11
2023-12-04 11:44:59,4.035983788651291e-08,9.253315056104711e-09,2.872857707612259e-09,2.872857707612259e-09
2023-12-04 11:59:59,4.4158728888277626e-08,1.2500319154397702e-09,1.971606964170148e-10,1.971606964170148e-10
2023-12-04 12:14:59,4.7319636123253147e-08,1.7494354894622386e-09,3.030793369738321e-10,3.030793369738321e-10
2023-12-04 12:29:59,5.047454245560114e-08,1.9450744019973487e-09,3.267128290475734e-10,3.267128290475734e-10
2023-12-04 12:44:59,5.0958061799978674e-08,1.50169300805027e-09,2.3380105994220316e-10,2.3380105994220316e-10
2023-12-04 12:59:59,4.804099629136763e-08,1.357850037677832e-09,1.5821856215875517e-10,1.5821856215875517e-10
