,station,location,channel,latitude,longitude,elevation
0,INU,00,BHZ,35.35,137.029,0.00001
1,ERM,00,BHZ,42.015,143.1572,0.00001
2,JEM,00,BHZ,44.118801,142.593002,0.00001
3,JEW,00,BHZ,42.84267,141.446167,0.00001
4,JHJ2,00,BHZ,33.115299,139.813797,0.00001
5,JHS,00,BHZ,35.001831,133.113663,0.00001
6,JKA,00,BHZ,44.118801,142.593002,0.00001
7,JMM,00,BHZ,37.868999,140.789673,0.00001
8,JMN,00,BHZ,33.731499,133.876328,0.00001
9,JNU,00,BHZ,33.125,130.876694,0.00001
10,JSG,00,BHZ,34.67767,138.182999,0.00001
11,JTM,00,BHZ,40.789501,141.064667,0.00001
12,JTU,00,BHZ,34.5275,129.396301,0.00001
13,JWT,00,BHZ,35.285671,135.398666,0.00001
14,JYT,00,BHZ,36.230831,140.190674,0.00001
15,TJN,00,BHZ,36.38052,127.36174,0.00001
16,BUS3,00,BHZ,35.2486,129.1124,0.00001
17,CHJ3,00,BHZ,36.873,127.9748,0.00001
18,SH2B,00,BHZ,38.2686,128.2524,100.00001
19,INU,00,BHZ,35.3482,137.0285,0.00001
20,TJN,00,BHZ,36.3772,127.3638,0.00001
21,SMY,00,BHZ,52.730801,174.103104,0.00001
22,HKPS,00,BHZ,22.277599,114.141502,0.00001
23,HKPS,00,BHZ,22.277599,114.141502,0.00001
24,ENH,00,BHZ,30.2762,109.49474,0.00001
25,XAN,00,BHZ,34.0313,108.9237,0.00001
26,TLY,00,BHZ,51.6807,103.6438,20.00001
27,SHEM,00,BHZ,52.7295,174.09939,3.00001
28,GUMO,00,BHZ,13.5893,144.8684,93.00001
29,MA2,00,BHZ,59.5756,150.77,2.00001
30,PET,00,BHZ,53.0233,158.6499,2.00001
31,ULN,00,BHZ,47.8651,107.0532,0.00001
32,YAK,00,BHZ,62.031,129.6805,14.00001
33,DPS,00,BHZ,15.24082,145.78909,0.00001
34,FLX,00,BHZ,15.23389,145.79172,0.00001
35,KMNB,00,BHZ,24.4638,118.388199,0.00001
36,TPUB,00,BHZ,23.300501,120.629601,0.00001
37,TWGB,00,BHZ,22.817699,121.079903,0.00001
