# Depth (km), Vp (km/s)
0,5.5
2,5.555
4,5.61
6,5.665
8,5.72
10,5.775
12,5.83
14,5.885
16,5.94
18,5.995
20,6.05
22,6.105
24,6.16
26,6.215
28,6.27
30,6.325
32,6.38
34,6.435
36,6.49
38,6.545
40,6.6
41,8
42,8.008885
43,8.01777
44,8.026655
45,8.03554
46,8.044425
47,8.05331
48,8.062195
49,8.07108
50,8.079965
51,8.08885
52,8.097735
53,8.10662
54,8.115505
55,8.12439
56,8.133275
57,8.14216
58,8.151045
59,8.15993
60,8.168815
61,8.1777
62,8.186585
63,8.19547
64,8.204355
65,8.21324
66,8.222125
67,8.23101
68,8.239895
69,8.24878
70,8.257665
71,8.26655
72,8.275435
73,8.28432
74,8.293205
75,8.30209
76,8.310975
77,8.31986
78,8.328745
79,8.33763
80,8.346515
81,8.3554
82,8.364285
83,8.37317
84,8.382055
85,8.39094
86,8.399825
87,8.40871
88,8.417595
89,8.42648
90,8.435365
91,8.44425
92,8.453135
93,8.46202
94,8.470905
95,8.47979
96,8.488675
97,8.49756
98,8.506445
99,8.51533
100,8.524215
101,8.5331
102,8.541985
103,8.55087
104,8.559755
105,8.56864
106,8.577525
107,8.58641
108,8.595295
109,8.60418
110,8.613065
111,8.62195
112,8.630835
113,8.63972
114,8.648605
115,8.65749
116,8.666375
117,8.67526
118,8.684145
119,8.69303
120,8.701915
121,8.7108
122,8.719685
123,8.72857
124,8.737455
125,8.74634
126,8.755225
127,8.76411
128,8.772995
129,8.78188
130,8.790765
131,8.79965
132,8.808535
133,8.81742
134,8.826305
135,8.83519
136,8.844075
137,8.85296
138,8.861845
139,8.87073
140,8.879615
141,8.8885
142,8.897385
143,8.90627
144,8.915155
145,8.92404
146,8.932925
147,8.94181
148,8.950695
149,8.95958
150,8.968465
151,8.97735
152,8.986235
153,8.99512
154,9.004005
155,9.01289
156,9.021775
157,9.03066
158,9.039545
159,9.04843
160,9.057315
161,9.0662
162,9.075085
163,9.08397
164,9.092855
165,9.10174
166,9.110625
167,9.11951
168,9.128395
169,9.13728
170,9.146165
171,9.15505
172,9.163935
173,9.17282
174,9.181705
175,9.19059
176,9.199475
177,9.20836
178,9.217245
179,9.22613
180,9.235015
181,9.2439
182,9.252785
183,9.26167
184,9.270555
185,9.27944
186,9.288325
187,9.29721
188,9.306095
189,9.31498
190,9.323865
191,9.33275
192,9.341635
193,9.35052
194,9.359405
195,9.36829
196,9.377175
197,9.38606
198,9.394945
199,9.40383
200,9.412715
